Session,Borough,Swimming Pool,Class Type,StartTime,Total Registration,Total Attendance,ClassName
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,08/12/2023 06:00:00 PM,2,2,Learn to Swim: Children ADV. Swimmer Level 5 Saturdays 2pm
,,Offsite Locations,Level 1,06/15/2024 04:00:00 PM,,16,Evander Child's Learn to Swim: Children Saturdays Level 1
,M,Constance Baker Motley Recreation Center,Level 1,01/20/2024 03:30:00 PM,20,13,Constance Baker Motley Saturday Children Learn to Swim Level 1
,Q,Roy Wilkins Recreation Center,Adult,11/12/2022 06:15:00 PM,30,21,Roy Wilkins Learn to Swim: Adults - ADMIN ONLY
,B,St. John's Recreation Center,Adult,05/20/2023 05:15:00 PM,28,12,St. John's Learn to Swim: Adults - Saturdays
,B,St. John's Recreation Center,,04/13/2022 08:00:00 PM,17,17,St. John's Learn to Swim: Children (Wednesday)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,08/05/2023 06:00:00 PM,13,5,"Learn to Swim: Children Intermediate Level 3 - Saturdays, 2pm"
,Q,Roy Wilkins Recreation Center,Adult,03/02/2024 06:00:00 PM,20,3,Roy Wilkins Learn to Swim: Adults - Saturday
,M,Asser Levy Recreation Center,Tot,11/02/2024 03:30:00 PM,13,10,Asser Levy: Tots Learn to Swim
,Q,Roy Wilkins Recreation Center,,02/23/2023 05:00:00 PM,23,9,Holiday Learn to Swim Roy Wilkins Class C
,B,St. John's Recreation Center,,04/27/2022 08:00:00 PM,17,17,St. John's Learn to Swim: Children (Wednesday)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,04/20/2023 08:00:00 PM,1,1,Learn to Swim: Children ADV. Swimmer Level 5
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,02/15/2024 06:00:00 PM,9,4,Flushing Meadows Aquatic Center Adult Learn to Swim Level 2 - Thursdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,07/24/2023 10:00:00 PM,20,9,Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Mondays 6pm)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,09/23/2023 02:00:00 PM,10,6,"Flushing Meadows Aquatics Center-Children's Learn to Swim Level 2 (Saturdays, 10am)"
3,,Astoria Pool,Level 1,08/23/2024 05:00:00 PM,,27,Session 3: Astoria Pool - Children's Learn to Swim Level 1 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,03/05/2024 11:00:00 PM,15,10,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 2 - Tuesdays, 6pm"
,M,Constance Baker Motley Recreation Center,,11/15/2022 09:00:00 PM,21,12,Constance Baker Motley Learn to Swim: Children - Tuesdays
,Q,Roy Wilkins Recreation Center,,03/07/2024 02:00:00 PM,20,10,Roy Wilkins Senior Learn To Swim - Thursday (Beginner)
,Q,Roy Wilkins Recreation Center,,03/23/2023 08:00:00 PM,15,10,Roy Wilkins' Learn To Swim: Children - Thursdays - ADMIN ONLY
,M,Chelsea Recreation Center,Adult,05/12/2022 03:00:00 PM,1,1,Adult Learn To Swim
2,X,Crotona Pool,Level 1A,07/28/2023 05:00:00 PM,48,30,Session II Children Learn to Swim Crotona Pool Level 1A
,B,St. John's Recreation Center,,04/17/2024 08:00:00 PM,31,15,St. John's Learn to Swim: Children - Wednesdays
,B,Metropolitan Pool & Recreation Center,Level 2,04/09/2022 01:30:00 PM,12,12,Metropolitan Learn to Swim Level 2
,M,Gertrude Ederle Recreation Center,Seniors,06/06/2024 05:00:00 PM,16,4,Gertrude Ederle Learn to Swim: Seniors - Thursday
,M,Constance Baker Motley Recreation Center,,10/20/2022 08:00:00 PM,15,7,Constance Baker Motley Learn to Swim: Children - Thursdays
,Q,Roy Wilkins Recreation Center,,02/22/2024 02:00:00 PM,20,7,Roy Wilkins Senior Learn To Swim - Thursday (Beginner)
,,Offsite Locations,,04/14/2023 04:00:00 PM,30,9,Holiday Learn to Swim Curtis High School Class C
,B,Metropolitan Pool & Recreation Center,Tot,12/11/2021 05:00:00 PM,8,6,Metropolitan Learn to Swim: Tots
,M,Gertrude Ederle Recreation Center,Tot,02/25/2023 04:30:00 PM,15,6,Gertrude Ederle Learn to Swim: Tots - Saturdays - ADMIN ONLY
,M,Chelsea Recreation Center,Seniors,12/06/2023 07:30:00 PM,6,3,Chelsea Learn to Swim: Seniors
,M,Constance Baker Motley Recreation Center,Level 1,05/27/2023 02:30:00 PM,25,20,Constance Baker Motley Saturday Children Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,08/19/2023 05:15:00 PM,13,7,"Flushing Meadows Aquatics Center - Adult Learn to Swim Level 1 (Saturdays, 1:15pm)"
,B,St. John's Recreation Center,,06/03/2024 08:00:00 PM,31,3,St. John's Learn to Swim: Children - Mondays
,Q,Roy Wilkins Recreation Center,Tot,03/12/2022 06:30:00 PM,8,8,Roy Wilkins Learn to Swim: Tots
,B,Metropolitan Pool & Recreation Center,Level 2,05/27/2023 02:00:00 PM,32,10,Metropolitan Saturday Children Learn to Swim Level 2
,X,St. Mary's Recreation Center,Level 1,03/12/2022 04:30:00 PM,4,4,St. Mary's Learn to Swim: Children Level 1
,M,Asser Levy Recreation Center,,05/23/2024 05:00:00 PM,18,8,Asser Levy Senior Learn to Swim: Thursdays
1,B,Red Hook Pool,Level 1,07/12/2024 01:00:00 PM,,16,Session 1: Red Hook Pool - Children's Learn to Swim  Level 1 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,05/06/2023 02:00:00 PM,11,8,"Learn to Swim: Children ADV. Beginner Level 2 - Saturdays, 10am"
,,Offsite Locations,,04/26/2024 04:00:00 PM,,23,Holiday Learn to Swim Evander Childs Educational Campus Class C
,B,Metropolitan Pool & Recreation Center,,12/01/2021 09:00:00 PM,11,1,Metropolitan Learn to Swim: Children
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,09/05/2023 08:00:00 PM,5,4,"Learn to Swim: Children Swimmer Level 4 - Tuesdays, 4pm"
,Q,Roy Wilkins Recreation Center,,03/05/2024 09:00:00 PM,23,3,Roy Wilkins Learn To Swim: Children - Tuesday
,B,St. John's Recreation Center,Level 1,02/12/2022 03:45:00 PM,14,6,St. John's Learn to Swim: Children Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,10/21/2023 02:00:00 PM,5,4,"Learn to Swim: Children Intermediate Level 3 - Saturdays, 10am"
,B,Metropolitan Pool & Recreation Center,,12/29/2021 09:00:00 PM,11,8,Metropolitan Learn to Swim: Children
1,X,Crotona Pool,Level 1A,07/13/2023 05:00:00 PM,48,13,Session I Children Learn to Swim Crotona Pool Level 1A
,Q,Flushing Meadows Corona Park Aquatics Center,,05/13/2023 04:45:00 PM,10,4,Learn to Swim: TOTS
,B,Metropolitan Pool & Recreation Center,,12/18/2023 09:00:00 PM,34,12,Metropolitan Learn to Swim: Children
,M,Wagner College,Level 2,06/17/2023 09:45:00 PM,18,12,Wagner College Saturday Children Learn to Swim Level 2
,M,Asser Levy Recreation Center,,05/03/2023 08:00:00 PM,30,9,Asser Levy Learn to Swim: Children - Wednesdays
,X,Crotona Pool,Tot,07/10/2023 03:00:00 PM,20,7,Session l Tots Learn to Swim Crotona Pool Class A
3,R,Lyons Pool,Level 1,08/22/2024 06:00:00 PM,,29,Session 3: Lyons Pool - Children's Learn to Swim Level 1 (Class B)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,01/30/2024 09:00:00 PM,4,5,Learn to Swim: Children ADV. Swimmer Level 5 - Tuesdays 4pm
,M,Chelsea Recreation Center,,10/18/2023 08:00:00 PM,20,15,Chelsea Learn to Swim: Children - Wednesdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 6,08/29/2024 09:00:00 PM,10,7,FMAC: Children's Learn to Swim (Level 6)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,03/25/2024 08:00:00 PM,14,2,"Learn to Swim: Children Swimmer Level 4 - Mondays, 4pm"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,09/18/2023 11:00:00 PM,14,8,Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Mondays 7pm)
,M,Gertrude Ederle Recreation Center,,04/25/2024 04:00:00 PM,30,26,Holiday Learn to Swim Gertrude Ederle Class B
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,06/24/2024 08:00:00 PM,15,8,"Flushing Meadows Aquatic Center Children Learn to Swim: Intermediate Level 3 - Mondays, 4pm"
,Q,Roy Wilkins Recreation Center,,12/28/2022 03:00:00 PM,13,5,Holiday Learn to Swim Roy Wilkins Class A
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,05/13/2023 02:00:00 PM,7,5,"Learn to Swim: Children Intermediate Level 3 - Saturdays,  10am"
,M,Gertrude Ederle Recreation Center,Seniors,05/04/2023 06:30:00 PM,4,4,Gertrude Ederle Learn to Swim: Seniors
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,04/06/2023 05:00:00 PM,9,7,Learn to Swim: Adult Advanced Beginner Level 2 - Thursdays
,M,Constance Baker Motley Recreation Center,Seniors,05/16/2024 06:30:00 PM,16,3,Constance Baker Motley Learn to Swim: Seniors Thursdays
,B,Metropolitan Pool & Recreation Center,Adult,11/19/2022 05:30:00 PM,33,5,Metropolitan Learn to Swim: Adults
,M,Chelsea Recreation Center,Seniors,11/22/2023 07:30:00 PM,6,1,Chelsea Learn to Swim: Seniors
,B,Metropolitan Pool & Recreation Center,Adult,01/06/2024 05:30:00 PM,40,14,Metropolitan Learn to Swim: Adults
3,B,Red Hook Pool,Level 2,08/18/2023 04:00:00 PM,48,13,Session 3: Red Hook Pool - Children's Learn to Swim Level 2 (Class B)
,Q,Roy Wilkins Recreation Center,,01/03/2024 09:00:00 PM,18,8,Roy Wilkins Learn To Swim: Children - Wednesday
,M,Chelsea Recreation Center,,10/31/2022 08:00:00 PM,10,4,Chelsea Learn to Swim:  Children - Mondays
,M,Gertrude Ederle Recreation Center,Level 1,10/29/2022 02:30:00 PM,14,8,Gertrude Ederle Saturday Learn to Swim Level 1
,B,St. John's Recreation Center,,10/30/2023 08:00:00 PM,15,10,St. John's Learn to Swim: Children
,Q,Roy Wilkins Recreation Center,,02/01/2024 02:00:00 PM,21,11,Roy Wilkins Senior Learn To Swim - Thursday (Beginner)
,M,Asser Levy Recreation Center,,12/26/2023 05:00:00 PM,18,13,Holiday Learn to Swim Asser Levy Class B
,Q,Roy Wilkins Recreation Center,,03/26/2024 08:00:00 PM,23,5,Roy Wilkins Learn To Swim: Children - Tuesday
,M,Gertrude Ederle Recreation Center,Level 2,02/17/2024 02:30:00 PM,20,8,Gertrude Ederle Saturday Learn to Swim Level 2
1,,Astoria Pool,Tot,07/16/2024 11:00:00 AM,,10,Session 1: Astoria Pool - Tots Learn to Swim (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,03/19/2024 08:00:00 PM,29,23,"Learn to Swim: Children Intermediate Level 3 - Tuesdays, 4pm"
,,Offsite Locations,,04/11/2023 04:00:00 PM,27,15,Holiday Learn to Swim George Washington High School Class C
,M,Gertrude Ederle Recreation Center,Level 2,08/30/2023 04:00:00 PM,30,17,Gertrude Ederle Recreation Center - Children's Learn to Swim Level 2 (Wednesdays)
,Q,Roy Wilkins Recreation Center,,02/02/2024 07:30:00 PM,8,1,Roy Wilkins Senior Learn To Swim - Friday (Beginner)
2,R,Lyons Pool,Level 1,08/06/2024 06:00:00 PM,,25,Session 2: Lyons Pool - Children's Learn to Swim Level 1 (Class B)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,06/17/2024 11:00:00 PM,12,8,"Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Mondays, 7pm"
,M,Asser Levy Recreation Center,,02/06/2023 09:00:00 PM,30,16,Asser Levy Learn to Swim: Children - Mondays - ADMIN ONLY
,Q,Flushing Meadows Corona Park Aquatics Center,Tot,01/13/2024 05:45:00 PM,17,12,"Flushing Meadows Aquatics Center - Parent and Tot Learn to Swim (Saturdays, 12:45pm)"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,06/24/2024 10:00:00 PM,15,7,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Mondays, 6pm"
,M,Asser Levy Recreation Center,Level 1,04/27/2024 02:30:00 PM,21,2,Asser Levy Saturday Children Learn to Swim Level 1
