Community District,% of Population <15 minute walk from a pool,# of Pools
308,0.4832417731063534,1
414,0,0
204,0.9054314259425916,2
501,0.29738764615534163,4
407,0.08762036402053669,1
228,0,0
483,0,0
482,0,0
208,0.12320821410979949,0
205,0.11143972275299042,0
207,8.340853662657485e-5,0
313,0,0
311,0,0
484,0,0
310,0,0
405,6.444831598413423e-11,0
410,0,0
317,0.15051484557636405,0
164,0.47071609490968774,1
306,0.4718022504914601,2
203,0.5403370085679876,1
206,0.7292717139565448,1
212,0.33747427091977417,2
226,0.2827808906415206,1
227,0.011364474349439909,0
109,0.9501484012201007,1
316,0.846739104494845,3
108,0.5447840765339719,1
480,0,0
105,0.4204320247100862,0
210,0.09301596682776993,0
412,0.16449451257255882,2
318,0.31711719489330026,3
104,0.7233751538154473,1
107,0.7068737515195521,2
312,0.16181834005468923,0
315,0,0
111,0.8663047065345835,4
403,0.44488102355094167,1
110,0.9937680267999086,2
112,0.13108223527553287,1
411,0.19003192652396372,1
413,0.05776136986662375,1
209,0.2868548522547223,1
211,0.032858897826864984,0
404,0.008581819940706519,0
406,0,0
302,0.7052865920932709,2
303,0.773267921857003,2
304,0.344402839583826,0
201,0.7163565317091438,1
202,0.13507346436502732,0
409,0,0
309,0.14506816217777513,0
355,0,0
503,0.04510120485239342,1
106,0.795036451274283,2
408,1.6193931345219795e-4,0
481,0.111975139247669,1
102,0.892592135474681,3
401,0.2047566996749767,1
402,0.39634372302457455,1
101,0.2011376152639633,0
502,0.20840270923314244,2
595,0.012174283180515905,0
305,0.09925573195605661,0
356,5.559767680642303e-4,0
103,0.7216201794489101,3
301,0.7304811030750742,3
307,0.48458467920640547,1
314,0,0
